Source,Target,Type
C:/opencv/3rdparty/cpufeatures/cpu-features.c,defined,call
C:/opencv/3rdparty/cpufeatures/cpu-features.c,defined,call
C:/opencv/3rdparty/cpufeatures/cpu-features.c,defined,call
C:/opencv/3rdparty/cpufeatures/cpu-features.c,defined,call
C:/opencv/3rdparty/cpufeatures/cpu-features.c,defined,call
C:/opencv/3rdparty/cpufeatures/cpu-features.c,android_cpuInitFamily,call
C:/opencv/3rdparty/cpufeatures/cpu-features.c,get_file_size,call
C:/opencv/3rdparty/cpufeatures/cpu-features.c,D,call
C:/opencv/3rdparty/cpufeatures/cpu-features.c,malloc,call
C:/opencv/3rdparty/cpufeatures/cpu-features.c,D,call
C:/opencv/3rdparty/cpufeatures/cpu-features.c,read_file,call
C:/opencv/3rdparty/cpufeatures/cpu-features.c,D,call
C:/opencv/3rdparty/cpufeatures/cpu-features.c,free,call
C:/opencv/3rdparty/cpufeatures/cpu-features.c,get_cpu_count,call
C:/opencv/3rdparty/cpufeatures/cpu-features.c,D,call
C:/opencv/3rdparty/cpufeatures/cpu-features.c,extract_cpuinfo_field,call
C:/opencv/3rdparty/cpufeatures/cpu-features.c,D,call
C:/opencv/3rdparty/cpufeatures/cpu-features.c,strtol,call
C:/opencv/3rdparty/cpufeatures/cpu-features.c,extract_cpuinfo_field,call
C:/opencv/3rdparty/cpufeatures/cpu-features.c,D,call
C:/opencv/3rdparty/cpufeatures/cpu-features.c,has_list_item,call
C:/opencv/3rdparty/cpufeatures/cpu-features.c,D,call
C:/opencv/3rdparty/cpufeatures/cpu-features.c,free,call
C:/opencv/3rdparty/cpufeatures/cpu-features.c,free,call
C:/opencv/3rdparty/cpufeatures/cpu-features.c,get_elf_hwcap_from_getauxval,call
C:/opencv/3rdparty/cpufeatures/cpu-features.c,D,call
C:/opencv/3rdparty/cpufeatures/cpu-features.c,get_elf_hwcap_from_proc_self_auxv,call
C:/opencv/3rdparty/cpufeatures/cpu-features.c,D,call
C:/opencv/3rdparty/cpufeatures/cpu-features.c,get_elf_hwcap_from_proc_cpuinfo,call
C:/opencv/3rdparty/cpufeatures/cpu-features.c,get_elf_hwcap_from_getauxval,call
C:/opencv/3rdparty/cpufeatures/cpu-features.c,D,call
C:/opencv/3rdparty/cpufeatures/cpu-features.c,extract_cpuinfo_field,call
C:/opencv/3rdparty/cpufeatures/cpu-features.c,D,call
C:/opencv/3rdparty/cpufeatures/cpu-features.c,strlen,call
C:/opencv/3rdparty/cpufeatures/cpu-features.c,parse_hexadecimal,call
C:/opencv/3rdparty/cpufeatures/cpu-features.c,parse_hexadecimal,call
C:/opencv/3rdparty/cpufeatures/cpu-features.c,parse_decimal,call
C:/opencv/3rdparty/cpufeatures/cpu-features.c,free,call
C:/opencv/3rdparty/cpufeatures/cpu-features.c,extract_cpuinfo_field,call
C:/opencv/3rdparty/cpufeatures/cpu-features.c,strcmp,call
C:/opencv/3rdparty/cpufeatures/cpu-features.c,free,call
C:/opencv/3rdparty/cpufeatures/cpu-features.c,get_elf_hwcap_from_getauxval,call
C:/opencv/3rdparty/cpufeatures/cpu-features.c,D,call
C:/opencv/3rdparty/cpufeatures/cpu-features.c,D,call
C:/opencv/3rdparty/cpufeatures/cpu-features.c,defined,call
C:/opencv/3rdparty/cpufeatures/cpu-features.c,defined,call
C:/opencv/3rdparty/cpufeatures/cpu-features.c,x86_cpuid,call
C:/opencv/3rdparty/cpufeatures/cpu-features.c,x86_cpuid,call
C:/opencv/3rdparty/cpufeatures/cpu-features.c,x86_cpuid,call
C:/opencv/3rdparty/cpufeatures/cpu-features.c,defined,call
C:/opencv/3rdparty/cpufeatures/cpu-features.c,get_elf_hwcap_from_getauxval,call
C:/opencv/3rdparty/cpufeatures/cpu-features.c,free,call
C:/opencv/3rdparty/cpufeatures/cpu-features.c,pthread_once,call
C:/opencv/3rdparty/cpufeatures/cpu-features.c,pthread_once,call
C:/opencv/3rdparty/cpufeatures/cpu-features.c,pthread_once,call
C:/opencv/3rdparty/cpufeatures/cpu-features.c,android_cpuInitFamily,call
C:/opencv/3rdparty/cpufeatures/cpu-features.c,pthread_once,call
C:/opencv/3rdparty/cpufeatures/cpu-features.c,pthread_once,call
C:/opencv/3rdparty/cpufeatures/cpu-features.c,android_setCpu,call
C:/opencv/3rdparty/cpufeatures/cpu-features.h,sys/cdefs.h,include
C:/opencv/3rdparty/cpufeatures/cpu-features.h,stdint.h,include
C:/opencv/3rdparty/cpufeatures/cpu-features.h,string.h,include
C:/opencv/3rdparty/dlpack/include/dlpack/dlpack.h,stdint.h,include
C:/opencv/3rdparty/dlpack/include/dlpack/dlpack.h,stddef.h,include
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/allocator.h,flatbuffers/base.h,include
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/allocator.h,FLATBUFFERS_ASSERT,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/allocator.h,allocate,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/allocator.h,memcpy_downward,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/allocator.h,deallocate,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/allocator.h,memcpy,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/allocator.h,memcpy,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/array.h,cstdint,include
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/array.h,memory,include
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/array.h,flatbuffers/base.h,include
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/array.h,flatbuffers/stl_emulation.h,include
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/array.h,flatbuffers/vector.h,include
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/array.h,size,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/array.h,FLATBUFFERS_ASSERT,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/array.h,Data,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/array.h,Get,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/array.h,Get,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/array.h,Data,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/array.h,const_iterator,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/array.h,Data,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/array.h,size,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/array.h,const_iterator,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/array.h,end,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/array.h,const_reverse_iterator,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/array.h,begin,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/array.h,const_reverse_iterator,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/array.h,begin,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/array.h,end,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/array.h,rbegin,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/array.h,rend,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/array.h,size,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/array.h,FLATBUFFERS_ASSERT,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/array.h,data,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/array.h,scalar_tag,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/array.h,MutateImpl,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/array.h,Data,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/array.h,Data,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/array.h,Data,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/array.h,FLATBUFFERS_ASSERT,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/array.h,CopyFromSpanImpl,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/array.h,size,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/array.h,FLATBUFFERS_ASSERT,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/array.h,data,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/array.h,WriteScalar,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/array.h,GetMutablePointer,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/array.h,data,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/array.h,Mutate,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/array.h,defined,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/array.h,FLATBUFFERS_ASSERT,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/array.h,T,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/array.h,T,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/array.h,T,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/array.h,T,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/base.h,defined,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/base.h,defined,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/base.h,defined,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/base.h,stdlib.h,include
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/base.h,crtdbg.h,include
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/base.h,defined,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/base.h,assert.h,include
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/base.h,defined,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/base.h,cstdint,include
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/base.h,cstddef,include
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/base.h,cstdlib,include
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/base.h,cstring,include
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/base.h,defined,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/base.h,defined,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/base.h,defined,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/base.h,utility.h,include
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/base.h,utility,include
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/base.h,string,include
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/base.h,type_traits,include
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/base.h,vector,include
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/base.h,set,include
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/base.h,algorithm,include
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/base.h,limits,include
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/base.h,iterator,include
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/base.h,memory,include
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/base.h,defined,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/base.h,defined,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/base.h,unistd.h,include
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/base.h,android/api-level.h,include
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/base.h,defined,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/base.h,intrinsics.h,include
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/base.h,defined,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/base.h,defined,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/base.h,defined,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/base.h,defined,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/base.h,defined,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/base.h,defined,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/base.h,defined,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/base.h,defined,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/base.h,defined,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/base.h,defined,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/base.h,defined,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/base.h,defined,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/base.h,defined,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/base.h,defined,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/base.h,defined,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/base.h,defined,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/base.h,defined,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/base.h,defined,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/base.h,defined,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/base.h,defined,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/base.h,defined,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/base.h,defined,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/base.h,defined,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/base.h,defined,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/base.h,defined,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/base.h,defined,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/base.h,defined,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/base.h,defined,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/base.h,defined,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/base.h,defined,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/base.h,defined,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/base.h,defined,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/base.h,defined,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/base.h,defined,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/base.h,defined,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/base.h,defined,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/base.h,defined,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/base.h,__has_include,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/base.h,defined,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/base.h,string_view,include
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/base.h,__has_include,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/base.h,experimental/string_view,include
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/base.h,__has_include,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/base.h,__has_include,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/base.h,absl/base/config.h,include
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/base.h,defined,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/base.h,absl/strings/string_view.h,include
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/base.h,defined,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/base.h,defined,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/base.h,defined,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/base.h,defined,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/base.h,defined,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/base.h,defined,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/base.h,defined,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/base.h,defined,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/base.h,defined,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/base.h,defined,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/base.h,defined,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/base.h,defined,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/base.h,defined,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/base.h,defined,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/base.h,defined,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/base.h,defined,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/base.h,FLATBUFFERS_BYTESWAP16,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/base.h,FLATBUFFERS_BYTESWAP32,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/base.h,FLATBUFFERS_BYTESWAP64,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/base.h,FLATBUFFERS_ASSERT,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/base.h,defined,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/base.h,EndianSwap,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/base.h,EndianScalar,call
